date,open,high,low,close,adj_close,volume
2019-01-02,91.23999786376953,91.26000213623047,88.41999816894531,89.2300033569336,64.78944396972656,6908400
2019-01-03,88.63999938964844,88.80000305175781,86.08000183105469,86.29000091552734,62.654720306396484,7653200
2019-01-04,87.75,89.13999938964844,86.2699966430664,89.06999969482422,64.67325592041016,8910600
2019-01-07,90.06999969482422,90.76000213623047,89.19999694824219,90.37000274658203,65.61717987060547,7281500
2019-01-08,91.19999694824219,92.30000305175781,90.4000015258789,90.79000091552734,65.92215728759766,7478300
2019-01-09,90.87999725341797,91.38999938964844,87.45999908447266,87.80999755859375,63.75835037231445,9971900
2019-01-10,87.87999725341797,88.87999725341797,87.12000274658203,88.19999694824219,64.04155731201172,6527700
2019-01-11,87.54000091552734,88.30999755859375,87.54000091552734,88.30999755859375,64.12141418457031,5318100
2019-01-14,86.97000122070312,86.97000122070312,84.48999786376953,84.76000213623047,62.29861831665039,6368500
2019-01-15,84.93000030517578,85.68000030517578,84.44999694824219,85.5,62.8425178527832,7295500
2019-01-16,85.66000366210938,86.38999938964844,85.44999694824219,85.55000305175781,62.879276275634766,4927000
2019-01-17,85.54000091552734,87.69000244140625,85.41999816894531,87.19999694824219,64.09202575683594,6438700
2019-01-18,88.44999694824219,89.79000091552734,86.91999816894531,89.5,65.78253173828125,6190000
2019-01-22,88.86000061035156,89.36000061035156,87.9000015258789,88.66000366210938,65.16512298583984,5664600
2019-01-23,88.83999633789062,89.27999877929688,87.69999694824219,88.44999694824219,65.01078033447266,4969300
2019-01-24,88.33000183105469,88.44000244140625,85.0999984741211,85.87999725341797,63.1218376159668,8372600
2019-01-25,82.51000213623047,82.61000061035156,79.43000030517578,80.54000091552734,59.19694519042969,21308600
2019-01-28,80.0,80.0999984741211,76.68000030517578,77.13999938964844,56.69791030883789,14718800
2019-01-29,77.02999877929688,78.16000366210938,75.7699966430664,77.47000122070312,56.94048309326172,13909000
2019-01-30,77.69000244140625,79.19000244140625,76.9800033569336,79.05999755859375,58.1091423034668,9277200
2019-01-31,78.94999694824219,81.30999755859375,78.70999908447266,80.29000091552734,59.01316452026367,11563900
2019-02-01,80.25,80.7300033569336,79.11000061035156,80.5,59.16753005981445,6759500
2019-02-04,80.30000305175781,80.36000061035156,77.5199966430664,78.52999877929688,57.71955871582031,10205600
2019-02-05,78.55999755859375,80.05999755859375,78.22000122070312,79.69000244140625,58.57216262817383,7965500
2019-02-06,79.5999984741211,79.88999938964844,78.79000091552734,79.08000183105469,58.123817443847656,4907200
2019-02-07,78.3499984741211,79.22000122070312,77.80999755859375,79.16999816894531,58.18998718261719,5877500
2019-02-08,79.02999877929688,79.86000061035156,78.88999938964844,79.66999816894531,58.55747985839844,4598900
2019-02-11,79.88999938964844,80.18000030517578,79.16999816894531,79.7699966430664,58.6309700012207,4803500
2019-02-12,79.98999786376953,80.12000274658203,78.56999969482422,79.93000030517578,58.74856185913086,6620100
2019-02-13,80.33999633789062,81.31999969482422,80.29000091552734,80.79000091552734,59.380680084228516,4237200
2019-02-14,80.44999694824219,80.68000030517578,79.72000122070312,80.5199966430664,59.18224334716797,3436300
2019-02-15,81.12999725341797,81.69999694824219,80.16000366210938,80.8499984741211,59.42475891113281,6295400
2019-02-19,80.5,81.5199966430664,80.2300033569336,80.5199966430664,59.18224334716797,5674700
2019-02-20,80.52999877929688,80.5999984741211,79.13999938964844,79.98999786376953,58.79267120361328,5564100
2019-02-21,79.73999786376953,79.91000366210938,78.0999984741211,78.75,57.88127136230469,6360800
2019-02-22,79.16000366210938,80.19000244140625,78.23999786376953,80.0199966430664,58.81472396850586,5022700
2019-02-25,80.45999908447266,80.62000274658203,79.87999725341797,80.29000091552734,59.01316452026367,5511800
2019-02-26,80.19999694824219,80.86000061035156,80.0199966430664,80.51000213623047,59.17487335205078,4283100
2019-02-27,80.13999938964844,80.13999938964844,78.80000305175781,79.41000366210938,58.36638259887695,4175500
2019-02-28,79.45999908447266,79.70999908447266,78.75,79.23999786376953,58.24141311645508,6310800
