date,open,high,low,close,adj_close,volume
2019-01-02,192.52000427246094,193.1999969482422,188.9499969482422,191.89999389648438,152.61001586914062,3009100
2019-01-03,192.14999389648438,194.17999267578125,188.6699981689453,188.97999572753906,150.28790283203125,3973900
2019-01-04,191.4600067138672,196.52000427246094,190.83999633789062,195.44000244140625,155.42523193359375,4193400
2019-01-07,194.75999450683594,199.36000061035156,194.0,198.07000732421875,157.51681518554688,3032500
2019-01-08,199.1999969482422,201.1199951171875,196.67999267578125,200.61000061035156,159.53671264648438,3290300
2019-01-09,202.36000061035156,202.89999389648438,199.6300048828125,200.3699951171875,159.34585571289062,2869700
2019-01-10,200.3699951171875,203.52000427246094,199.47000122070312,202.67999267578125,161.18292236328125,3131300
2019-01-11,200.63999938964844,200.99000549316406,198.0,200.55999755859375,159.49693298339844,3379700
2019-01-14,199.49000549316406,200.0,196.66000366210938,196.77999877929688,156.4908905029297,3378600
2019-01-15,196.3000030517578,199.99000549316406,196.0399932861328,199.3800048828125,158.55857849121094,2859800
2019-01-16,199.3000030517578,200.44000244140625,197.60000610351562,198.88999938964844,158.16891479492188,3302400
2019-01-17,198.3800048828125,202.52999877929688,197.97999572753906,201.9199981689453,160.57850646972656,2440200
2019-01-18,203.3300018310547,204.3300018310547,201.0399932861328,203.8800048828125,162.13722229003906,3095000
2019-01-22,202.6199951171875,203.47999572753906,200.77999877929688,201.97999572753906,160.62623596191406,3173100
2019-01-23,201.99000549316406,203.9499969482422,200.1300048828125,201.55999755859375,160.29222106933594,1917500
2019-01-24,201.61000061035156,202.39999389648438,199.74000549316406,200.97000122070312,159.82302856445312,2390800
2019-01-25,201.9499969482422,202.22999572753906,196.8800048828125,198.77000427246094,158.07350158691406,4383600
2019-01-28,194.97000122070312,194.97000122070312,190.00999450683594,191.9499969482422,152.64979553222656,4186200
2019-01-29,192.17999267578125,193.6699981689453,190.8000030517578,192.11000061035156,152.7770538330078,3182100
2019-01-30,188.88999938964844,189.75999450683594,179.64999389648438,184.86000061035156,147.01141357421875,8089100
2019-01-31,184.77999877929688,187.60000610351562,183.91000366210938,187.11000061035156,148.80076599121094,4397900
2019-02-01,186.50999450683594,187.8300018310547,185.55999755859375,187.07000732421875,148.76895141601562,2488900
2019-02-04,186.9600067138672,187.13999938964844,184.2899932861328,186.17999267578125,148.06117248535156,2930900
2019-02-05,186.1999969482422,189.05999755859375,185.72000122070312,188.30999755859375,149.7550506591797,4933300
2019-02-06,188.30999755859375,191.8699951171875,188.11000061035156,190.75999450683594,151.7034454345703,3322400
2019-02-07,190.6699981689453,190.6699981689453,182.6699981689453,184.22999572753906,146.51040649414062,4188100
2019-02-08,183.41000366210938,186.0500030517578,183.41000366210938,186.0,147.91798400878906,2601000
2019-02-11,186.7899932861328,187.11000061035156,185.50999450683594,185.7899932861328,147.75100708007812,2867300
2019-02-12,187.3300018310547,188.9600067138672,186.42999267578125,188.42999267578125,149.8504638671875,2412400
2019-02-13,189.22000122070312,190.1199951171875,188.39999389648438,188.97999572753906,150.28790283203125,2166000
2019-02-14,187.58999633789062,187.8000030517578,185.75999450683594,186.67999267578125,149.60667419433594,2611500
2019-02-15,188.07000732421875,189.10000610351562,185.99000549316406,188.33999633789062,150.93704223632812,3314600
2019-02-19,187.7899932861328,188.47000122070312,186.85000610351562,186.97000122070312,149.83908081054688,2267500
