event_id,ticker,reaction_start,biotech_catalyst_event_type,drug_asset,indication,trial_name,nct_id,duplicate_key,same_key_event_count,source_doc_count,source_types,source_mirror_flag,prior_announcement_language_flag,conference_publication_language_flag,pipeline_or_investor_deck_language_flag,explicit_result_language_flag,duplicate_type,duplicate_risk_level,duplicate_findings
ROIV_8-K_2023-11-27_0001140361-23-054630,ROIV,2023-11-27,phase_3_readout,SRI-4,psoriasis and in development for the treatment of atopic dermatitis,,,ROIV|2023-11-27|phase_3_readout|sri 4,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
REPL_8-K_2023-12-05_0001104659-23-123459,REPL,2023-12-05,endpoint_failure,RP1,cancers in IGNYTE trial adds to growing body of evidence supporting the potential of RP1 in difficult to treat skin cancer,IGNYTE,,REPL|2023-12-05|endpoint_failure|ignyte,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
MIRM_8-K_2023-12-18_0001193125-23-297614,MIRM,2023-12-18,phase_3_readout,,biliary atresia,,,MIRM|2023-12-18|phase_3_readout|biliary atresia,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
IOVA_8-K_2023-12-27_0001104659-23-129751,IOVA,2023-12-28,trial_halt,LN-145,non-small cell lung cancer,IOV-LUN-202,,IOVA|2023-12-28|trial_halt|iov lun 202,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
AUPH_8-K_2024-02-15_0001600620-24-000010,AUPH,2024-02-15,trial_discontinuation,December,,,,AUPH|2024-02-15|trial_discontinuation|december,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
DNLI_8-K_2024-02-16_0001714899-24-000065,DNLI,2024-02-16,phase_2_readout,SAR443820,,,,DNLI|2024-02-16|phase_2_readout|sar443820,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
IOVA_8-K_2024-03-04_0001104659-24-030249,IOVA,2024-03-04,trial_halt,EX-99,non-small cell lung cancer,IOV-LUN-202,,IOVA|2024-03-04|trial_halt|iov lun 202,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
IMCR_8-K_2024-05-31_0001140361-24-028366,IMCR,2024-05-31,safety_signal,PFS,this group was 58% and included all 10 patients (32%) with confirmed tumor,The,NCT06112314,IMCR|2024-05-31|safety_signal|nct06112314,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RCKT_8-K_2024-06-28_0001140361-24-031749,RCKT,2024-07-01,fda_complete_response_letter,KRESLADI,,,,RCKT|2024-07-01|fda_complete_response_letter|kresladi,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
EXEL_8-K_2024-08-06_0000939767-24-000116,EXEL,2024-08-07,trial_discontinuation,Cabozantinib,Advanced Neuroendocrine Tumors,,,EXEL|2024-08-07|trial_discontinuation|cabozantinib,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
NVAX_8-K_2024-10-16_0001104659-24-108950,NVAX,2024-10-16,trial_halt,EX-99,,CIC,,NVAX|2024-10-16|trial_halt|cic,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NVAX_8-K_2024-11-12_0001104659-24-116593,NVAX,2024-11-13,trial_halt,COVID-19-Influenza,,,,NVAX|2024-11-13|trial_halt|covid 19 influenza,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ROIV_8-K_2024-12-03_0001140361-24-048238,ROIV,2024-12-03,phase_2_readout,Namilumab,chronic active pulmonary sarcoidosis,,NCT05314517,ROIV|2024-12-03|phase_2_readout|nct05314517,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
DNLI_8-K_2025-01-07_0001714899-25-000007,DNLI,2025-01-06,phase_3_readout,Regimen,slowing disease,,,DNLI|2025-01-06|phase_3_readout|regimen,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NTLA_8-K_2025-01-10_0001193125-25-004080,NTLA,2025-01-10,trial_discontinuation,CRISPR-based,alpha-1 antitrypsin deficiency-associated lung disease and select research-stage programs,HAELO,,NTLA|2025-01-10|trial_discontinuation|haelo,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
DNLI_8-K_2025-03-05_0001714899-25-000072,DNLI,2025-03-05,phase_3_readout,DNL343,slowing disease,,,DNLI|2025-03-05|phase_3_readout|dnl343,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
PRTA_8-K_2025-05-23_0001193125-25-125881,PRTA,2025-05-27,trial_discontinuation,Birtamimab,Alzheimer’s disease,,,PRTA|2025-05-27|trial_discontinuation|birtamimab,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RCKT_8-K_2025-05-27_0001140361-25-020409,RCKT,2025-05-27,trial_halt,RP-A501,12 patients with Danon disease,,NCT06092034,RCKT|2025-05-27|trial_halt|nct06092034,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
RARE_8-K_2025-07-11_0000950170-25-095334,RARE,2025-07-14,fda_complete_response_letter,Biologics,,,,RARE|2025-07-14|fda_complete_response_letter|biologics,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
SRPT_8-K_2025-07-21_0001193125-25-161516,SRPT,2025-07-21,trial_halt,SRP-9003,certain diseases in which there is little clinical experience and we are using new endpoints or methodologies,,,SRPT|2025-07-21|trial_halt|srp 9003,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
REPL_8-K_2025-07-22_0001104659-25-069489,REPL,2025-07-22,fda_complete_response_letter,RP1,advanced melanoma,IGNYTE,,REPL|2025-07-22|fda_complete_response_letter|ignyte,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
PTCT_8-K_2025-08-19_0001558370-25-011658,PTCT,2025-08-19,fda_complete_response_letter,Friedreich,children and adults living with Friedreich's ataxia,,,PTCT|2025-08-19|fda_complete_response_letter|friedreich,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ZYME_8-K_2025-09-02_0001193125-25-193351,ZYME,2025-09-02,trial_discontinuation,Discontinue,ovarian cancer and non-small cell lung cancer,,,ZYME|2025-09-02|trial_discontinuation|discontinue,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
REPL_8-K_2025-10-20_0001104659-25-100605,REPL,2025-10-20,fda_complete_response_letter,EX-99,Advanced Melanoma Prescription Drug User Fee Act (PDUFA) target action date set for April 10,,,REPL|2025-10-20|fda_complete_response_letter|ex 99,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NTLA_8-K_2025-10-29_0001193125-25-256378,NTLA,2025-10-30,trial_halt,MAGNITUDE-2,,MAGNITUDE,,NTLA|2025-10-30|trial_halt|magnitude,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
INSM_8-K_2025-12-17_0001140361-25-045836,INSM,2025-12-18,trial_discontinuation,INS1148,this disease,,,INSM|2025-12-18|trial_discontinuation|ins1148,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
BMRN_8-K_2025-12-22_0001193125-25-327828,BMRN,2025-12-22,trial_discontinuation,,deficiency (AATD)-associated liver disease,,,BMRN|2025-12-22|trial_discontinuation|deficiency aatd associated liver disease,1,1,sec_primary_filing,False,False,False,False,False,none,low,none
NTLA_8-K_2026-01-27_0001193125-26-023387,NTLA,2026-01-27,trial_halt,Clinical,ATTR-CM and its MAGNITUDE-2 Phase 3 study of nex-z for the treatment of ATTRv-PN,MAGNITUDE-2,NCT06672237,NTLA|2026-01-27|trial_halt|nct06672237,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RGNX_8-K_2026-01-28_0001193125-26-026139,RGNX,2026-01-28,trial_halt,MPS,MPS I,III,,RGNX|2026-01-28|trial_halt|iii,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RGNX_8-K_2026-02-10_0001193125-26-043342,RGNX,2026-02-10,fda_complete_response_letter,RGX-121,Mucopolysaccharidosis II (MPS II) • REGENXBIO plans to work with FDA on a path forward with the goal of resubmitting the BLA ROCKVILLE,III,,RGNX|2026-02-10|fda_complete_response_letter|iii,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
MGNX_8-K_2026-02-24_0001125345-26-000009,MGNX,2026-02-23,trial_halt,PD-1,gynecologic cancers,LINNET,,MGNX|2026-02-23|trial_halt|linnet,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NTLA_8-K_2026-03-02_0001193125-26-084309,NTLA,2026-03-02,trial_halt,Clinical,,MAGNITUDE-2,NCT06128629,NTLA|2026-03-02|trial_halt|nct06128629,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
INCY_8-K_2026-03-06_0000879169-26-000013,INCY,2026-03-09,fda_complete_response_letter,Zynyz,adult patients,POD1UM-304,,INCY|2026-03-09|fda_complete_response_letter|pod1um 304,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
INSM_8-K_2026-04-07_0001140361-26-013659,INSM,2026-04-08,trial_discontinuation,EX-99,hidradenitis suppurativa (“HS”),,,INSM|2026-04-08|trial_discontinuation|ex 99,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
REPL_8-K_2026-04-13_0001104659-26-042141,REPL,2026-04-10,fda_complete_response_letter,RP1,advanced melanoma,IGNYTE,,REPL|2026-04-10|fda_complete_response_letter|ignyte,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
MIRM_8-K_2026-05-04_0001193125-26-202609,MIRM,2026-05-04,safety_signal,PSC,primary sclerosing cholangitis (“PSC”),,,MIRM|2026-05-04|safety_signal|psc,1,1,sec_primary_filing,False,False,True,False,False,conference_publication_language,medium,conference_or_publication_language_present
ZYME_8-K_2026-05-14_0001193125-26-224161,ZYME,2026-05-15,trial_discontinuation,Common,,,,ZYME|2026-05-15|trial_discontinuation|common,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
