label,threshold,rows,ok_rows,ticker_count,top_ticker,top_ticker_count,top_ticker_share,top_agency,top_agency_count,top_agency_share,top_program,top_program_count,top_program_share,median_materiality_pct_market_cap,max_materiality_pct_market_cap,h1_n,h1_mean_simple,h1_median_simple,h1_positive_rate,h1_sign_accuracy,h3_n,h3_mean_simple,h3_median_simple,h3_positive_rate,h3_sign_accuracy,h10_n,h10_mean_simple,h10_median_simple,h10_positive_rate,h10_sign_accuracy
large_prime_low_materiality,,114,114,7,RTX,28,0.24561403508771928,Department of Defense,114,1.0,BIG SAFARI,3,0.02631578947368421,0.0032676534198469,0.009481604551377,114,-0.0015128996021449284,-0.00042778853089830006,0.4824561403508772,0.4824561403508772,114,-0.0016300495984357276,-0.00208722281055435,0.4649122807017544,0.4649122807017544,111,0.0012328364462910874,-0.003115569495585,0.4864864864864865,0.4864864864864865
random_placebo,,186,170,18,RTX,34,0.2,Department of Defense,168,0.9882352941176471,BIG SAFARI,2,0.011764705882352941,0.0048969249491889,0.21698016472467,170,0.00369052143351089,0.00143030200534895,0.5529411764705883,0.5529411764705883,170,0.0017843461951548237,-0.000689101677974,0.49411764705882355,0.49411764705882355,169,0.0009831520493983883,0.0042036215131375,0.5325443786982249,0.5325443786982249
shifted_placebo,,105,105,18,RTX,19,0.18095238095238095,Department of Defense,103,0.9809523809523809,BIG SAFARI,3,0.02857142857142857,0.0041708899537398,0.5151556192120003,105,-0.002591813790033903,-6.630726299305945e-05,0.49523809523809526,0.49523809523809526,104,-0.010173852954026057,-0.0034148994646297,0.4230769230769231,0.4230769230769231,100,-0.009541734410879599,-0.0027174370971448,0.47,0.47
peer_control,,185,185,14,LHX,37,0.2,Department of Defense,183,0.9891891891891892,BIG SAFARI,3,0.016216216216216217,0.0048899214738052,0.5151556192120003,185,7.289973247717296e-05,0.0002163176388376,0.5081081081081081,0.5081081081081081,184,-0.0018386459214337445,-0.0008925324557296,0.483695652173913,0.483695652173913,181,-0.000272303973929958,0.0007989330670914,0.5027624309392266,0.5027624309392266
