label,threshold,rows,ok_rows,ticker_count,top_ticker,top_ticker_count,top_ticker_share,top_agency,top_agency_count,top_agency_share,top_program,top_program_count,top_program_share,median_materiality_pct_market_cap,max_materiality_pct_market_cap,h1_n,h1_mean_simple,h1_median_simple,h1_positive_rate,h1_sign_accuracy,h3_n,h3_mean_simple,h3_median_simple,h3_positive_rate,h3_sign_accuracy,h10_n,h10_mean_simple,h10_median_simple,h10_positive_rate,h10_sign_accuracy,removed_ticker,removed_rows
leave_one_ticker_out,0.005,15,15,7,SAIC,4,0.26666666666666666,Department of Defense,13,0.8666666666666667,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.06666666666666667,0.023729274857277,0.21698016472467,15,0.030604269346582072,0.001956003683988,0.5333333333333333,0.5333333333333333,14,0.0554292602969012,0.01223104964613235,0.6428571428571429,0.6428571428571429,14,0.08616057987789519,0.041727904893861745,0.7142857142857143,0.7142857142857143,AVAV,3
leave_one_ticker_out,0.005,15,15,7,SAIC,4,0.26666666666666666,Department of Defense,13,0.8666666666666667,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.06666666666666667,0.0423737943383549,0.21698016472467,15,0.03601753686921418,0.0151986551929854,0.6,0.6,14,0.05560054393670761,0.017012841670183097,0.7142857142857143,0.7142857142857143,14,0.0663090834402225,0.0387381030694853,0.5714285714285714,0.5714285714285714,CACI,3
leave_one_ticker_out,0.005,16,16,7,SAIC,4,0.25,Department of Defense,14,0.875,THE OBJECTIVE OF THE STP-S30 MISSION IS TO DELIVER SCIENTIFIC RESEARCH AND DEVELOPMENT EXPERIMENTS TO SPACE THAT MATURE EXISTING CAPABILITIES AND DEMONSTRATE NEXT-GENERATION TECHNOLOGY IN THE SPACE DOMAIN TO ENSURE A FUTURE OF SPACE DOMINANCE.,1,0.0625,0.0230305680605558,0.21698016472467,16,0.02650362678330606,0.0083912815858837,0.5625,0.5625,15,0.048207904550859174,0.0088486207669566,0.6666666666666666,0.6666666666666666,15,0.05790363949201194,0.038478415721789,0.6666666666666666,0.6666666666666666,KTOS,2
leave_one_ticker_out,0.005,16,16,7,SAIC,4,0.25,Department of Defense,16,1.0,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.0625,0.0222968146093317,0.1655782271881825,16,0.00527204160412665,0.00021515540159299993,0.5,0.5,15,-0.00313217744520552,0.0025649991448351,0.6,0.6,15,0.023417936879346575,0.022408915979758,0.6,0.6,LUNR,2
leave_one_ticker_out,0.005,16,16,7,SAIC,4,0.25,Department of Defense,14,0.875,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.0625,0.03235282780109475,0.21698016472467,16,0.03174854300630402,0.0150126073403824,0.625,0.625,15,0.05158755281444426,0.0156134785253081,0.6666666666666666,0.6666666666666666,15,0.0703320607524741,0.0389977904171816,0.7333333333333333,0.7333333333333333,MRCY,2
leave_one_ticker_out,0.005,17,17,7,SAIC,4,0.23529411764705882,Department of Defense,15,0.8823529411764706,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.058823529411764705,0.0223318612638346,0.21698016472467,17,0.030781294289566975,0.0148265594877794,0.5882352941176471,0.5882352941176471,16,0.05056717075853876,0.01223104964613235,0.6875,0.6875,16,0.05547255012121232,0.0304436658507735,0.625,0.625,RDW,1
leave_one_ticker_out,0.005,17,17,7,SAIC,4,0.23529411764705882,Department of Defense,15,0.8823529411764706,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.058823529411764705,0.023729274857277,0.21698016472467,17,0.027795479271638227,0.001956003683988,0.5294117647058824,0.5294117647058824,16,0.044067811810914514,0.0057068099558958505,0.625,0.625,16,0.06086540113585652,0.0304436658507735,0.625,0.625,RKLB,1
leave_one_ticker_out,0.005,14,14,7,CACI,3,0.21428571428571427,Department of Defense,12,0.8571428571428571,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.07142857142857142,0.0222968146093317,0.21698016472467,14,0.03124735515738927,0.00021515540159299993,0.5,0.5,14,0.04783155275458893,0.00159484755308055,0.5714285714285714,0.5714285714285714,14,0.058508742622283026,0.0304436658507735,0.6428571428571429,0.6428571428571429,SAIC,4
leave_one_ticker_out,0.01,13,13,6,SAIC,4,0.3076923076923077,Department of Defense,11,0.8461538461538461,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.07692307692307693,0.0423737943383549,0.21698016472467,13,0.03360918341370858,-0.001525692880802,0.46153846153846156,0.46153846153846156,12,0.06144689904949294,0.01223104964613235,0.5833333333333334,0.5833333333333334,12,0.09356602570856742,0.056913610221094146,0.6666666666666666,0.6666666666666666,AVAV,3
leave_one_ticker_out,0.01,14,14,6,SAIC,4,0.2857142857142857,Department of Defense,12,0.8571428571428571,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.07142857142857142,0.044102398907933396,0.21698016472467,14,0.03714817149297723,0.0150126073403824,0.5714285714285714,0.5714285714285714,13,0.05710198143815694,0.0156134785253081,0.6923076923076923,0.6923076923076923,13,0.06840995213430258,0.038478415721789,0.5384615384615384,0.5384615384615384,CACI,2
leave_one_ticker_out,0.01,14,14,6,SAIC,4,0.2857142857142857,Department of Defense,12,0.8571428571428571,NEW CONTRACT TO SUPPORT MOBILE MISSIONS SYSTEMS.,1,0.07142857142857142,0.03305153459781595,0.21698016472467,14,0.02870809805088411,0.0066504333034887,0.5,0.5,13,0.05265167020770663,0.0088486207669566,0.6153846153846154,0.6153846153846154,13,0.060392214045573496,0.022408915979758,0.6153846153846154,0.6153846153846154,KTOS,2
leave_one_ticker_out,0.01,14,14,6,SAIC,4,0.2857142857142857,Department of Defense,14,1.0,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.07142857142857142,0.0230305680605558,0.1655782271881825,14,0.004443429274679065,-0.007632444173241449,0.42857142857142855,0.42857142857142855,13,-0.006586885941598795,0.000624695961326,0.5384615384615384,0.5384615384615384,13,0.020601018723267323,0.0176501050774708,0.5384615384615384,0.5384615384615384,LUNR,2
leave_one_ticker_out,0.01,14,14,6,SAIC,4,0.2857142857142857,Department of Defense,12,0.8571428571428571,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.07142857142857142,0.044102398907933396,0.21698016472467,14,0.03470228802002463,0.0150126073403824,0.5714285714285714,0.5714285714285714,13,0.056551264357997094,0.0156134785253081,0.6153846153846154,0.6153846153846154,13,0.07473270011533754,0.038478415721789,0.6923076923076923,0.6923076923076923,MRCY,2
leave_one_ticker_out,0.01,15,15,6,SAIC,4,0.26666666666666666,Department of Defense,13,0.8666666666666667,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,1,0.06666666666666667,0.023729274857277,0.21698016472467,15,0.03340915647347461,0.0148265594877794,0.5333333333333333,0.5333333333333333,14,0.05503056261242277,0.01223104964613235,0.6428571428571429,0.6428571428571429,14,0.05743607086797668,0.0200295105286144,0.5714285714285714,0.5714285714285714,RDW,1
