iteration,n_trades,mean_net_event_return,cumulative_net_return,hit_rate
0,50,-0.004055712069079769,-0.6569795064024344,0.48
1,50,-0.02276793400518695,-0.8665418440446515,0.56
2,50,0.02978725097387251,1.4965309272021283,0.54
3,50,-0.008897326297625041,-0.6149407592806104,0.4
4,50,-0.002179179353432654,-0.5325303541531172,0.4
5,50,0.004244984653243051,-0.2792898729308877,0.48
6,50,-0.003516634712148201,-0.4790724245603857,0.44
7,50,0.0029660334394047295,-0.42879888954732537,0.48
8,50,-0.0028736166127708907,-0.5520565660986119,0.52
9,50,0.019394070354850433,0.6739124989883778,0.58
10,50,-0.008461141227095861,-0.6558285049604512,0.46
11,50,-0.024639404635210634,-0.8605172089694789,0.48
12,50,0.013235469378026938,0.2110302372297277,0.54
13,50,-0.048400177639779926,-0.9630185622976069,0.42
14,50,-0.0028346244468130965,-0.6422899348334075,0.58
15,50,-0.004315138111043655,-0.5091963588949904,0.52
16,50,0.005325281249101628,-0.2883400810679315,0.5
17,50,0.010734376603324996,-0.10152509662307141,0.48
18,50,-0.006464523819976014,-0.6268684974624068,0.52
19,50,-0.03738631973521414,-0.9381031445325595,0.52
20,50,-0.04181800274957562,-0.9478361856552776,0.36
21,50,0.015415902102331715,0.1530120418988994,0.5
22,50,0.010145517692805923,-0.0749395781761546,0.54
23,50,-0.0072924494333147585,-0.6608505935463426,0.4
24,50,-0.0036868887491921408,-0.5860465529123369,0.46
25,50,-0.027325739570798428,-0.8952335361360612,0.48
26,50,0.002557622386967602,-0.4324533919960616,0.52
27,50,0.020019652357715908,0.48268066087132033,0.56
28,50,0.0036332456916521295,-0.33316323959538385,0.48
29,50,-0.00015205656018515867,-0.5008573158050289,0.48
30,50,-0.01889869158802534,-0.8120606495660876,0.44
31,50,0.03920720247633688,2.8525116644859194,0.58
32,50,0.020278206930763824,0.2516691784510936,0.6
33,50,-0.018636902941557953,-0.8432948704907477,0.44
34,50,0.011176073416237378,0.146985259734008,0.52
35,50,0.011326655325718013,-0.02400207364427187,0.48
36,50,0.003180914306757676,-0.3002511916922106,0.44
37,50,0.021201203023888768,0.4816642099382813,0.6
38,50,0.006820293518794236,-0.25417226232456513,0.48
39,50,-0.022892691870413994,-0.8630909707087322,0.52
40,50,0.023459373581632352,0.6871031832629202,0.58
41,50,-0.008285798389688393,-0.6227766662719824,0.52
42,50,-0.029206981278303214,-0.9000131984190737,0.54
43,50,0.0020059433671160585,-0.39746463726229286,0.42
44,50,-0.03201516894582555,-0.9134652768257525,0.48
45,50,-0.003421546402780826,-0.6476537326417346,0.48
46,50,0.05856281076119673,9.570848396431572,0.58
47,50,-0.016195661230629054,-0.8082595010126281,0.46
48,50,0.03601989795734002,2.4061422852563963,0.62
49,50,0.016275269762776257,0.20210356587210687,0.5
50,50,-0.02170706877896616,-0.8493401981470031,0.48
51,50,-0.012870870800226175,-0.7809947856195045,0.44
52,50,0.021942368051437615,0.7424650407316009,0.5
53,50,0.006946065456659398,-0.2084131436561022,0.52
54,50,0.0283216037721363,1.2536649353716958,0.56
55,50,0.004130154876846552,-0.26944594425440394,0.52
56,50,-0.016673400500951403,-0.7566951485310613,0.4
57,50,0.009125310037475954,0.03507375392160417,0.5
58,50,0.024268526082705234,0.8938912375804264,0.6
59,50,-0.03917621570454054,-0.9446277444183682,0.38
60,50,0.024413668158242877,1.0704856277886567,0.5
61,50,-0.04728708783632915,-0.9620551504133962,0.4
62,50,-0.015457241127697524,-0.7278150145924489,0.46
63,50,-0.00898688093737921,-0.6279568090660734,0.5
64,50,-0.002672980556462532,-0.626078377649695,0.48
65,50,0.028674718155854574,1.481929217667043,0.66
66,50,0.03202376238270076,1.9589925034631683,0.66
67,50,0.01592518545712666,0.028041845074741945,0.5
68,50,-0.008977648787720054,-0.6294621682675712,0.5
69,50,-0.006464477120902059,-0.6843013111605498,0.52
70,50,0.041192341793160725,3.499066432260385,0.58
71,50,0.0185808210454767,0.49398158804370773,0.46
72,50,-0.03301609628583696,-0.9251190243780496,0.38
73,50,0.01196907176090444,-0.029858121399571447,0.46
74,50,0.009517008772492145,-0.08720677551625533,0.54
75,50,-0.004990450320181856,-0.6191168179979738,0.54
76,50,-0.006041903420490975,-0.6078630234789126,0.38
77,50,0.03554447311561475,2.15594429529425,0.5
78,50,-0.031570075420437174,-0.9182659998691521,0.46
79,50,-0.032887039083995935,-0.8898044144487456,0.42
80,50,0.03758318927067153,2.7756613610438627,0.56
81,50,-0.0034119243942772816,-0.5531489158720095,0.52
82,50,0.012097947638567743,-0.06947586886671941,0.52
83,50,-0.03426270009021415,-0.9289774562316193,0.42
84,50,0.011505861631206609,0.08384315969269962,0.5
85,50,0.006255038851667101,-0.1859977190123988,0.54
86,50,0.055288229113173194,9.34867702531868,0.6
87,50,-0.005465114821754444,-0.6652709706699547,0.52
88,50,0.03208550895824765,1.7172893694700817,0.56
89,50,0.00538408162035517,-0.23735921552426897,0.52
90,50,-0.017352970671901342,-0.811350187431226,0.4
91,50,0.008934363921160975,-0.18149857583007278,0.56
92,50,0.019960825126790992,0.498344697480847,0.54
93,50,-0.009044221310021423,-0.6556531783519365,0.44
94,50,-0.0006410634996854214,-0.49499858687473086,0.52
95,50,0.03143778397092279,1.764064614166462,0.64
96,50,0.005050546989911051,-0.3109734018266356,0.46
97,50,-0.0027019230049546983,-0.559934094651252,0.46
98,50,0.02038312824728703,0.9599273704617897,0.54
99,50,-0.01100381216933393,-0.7113448433896377,0.5
100,50,0.01002869996738743,-0.04532897515101464,0.6
101,50,-0.019471420424460765,-0.8404133243246102,0.5
102,50,0.0528025383248075,6.734292259866182,0.58
103,50,0.03829322572097255,3.06099848041245,0.5
104,50,0.03294521097570709,1.8832095192623197,0.5
105,50,0.03546003272025511,1.6604047285491519,0.56
