dataset,events_ok,mean_car_h1,median_car_h1,mean_car_h3,median_car_h3,positive_h1_rate
original_2h,79,-0.018998556478958234,-0.0102589286279605,-0.04235235738237952,-0.0334600519847172,0.4050632911392405
timestamp_repaired,58,-0.017906013078279277,-0.02549269400913025,-0.03563979725943694,-0.0416130294410226,0.3620689655172414
