event_id,ticker,dataset_split,biotech_catalyst_event_type,event_time_original,original_reaction_window_start,sec_acceptance_time,press_release_time,source_publication_time,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,reaction_window_start,timestamp_confidence,timestamp_notes,original_reaction_window_before_first_tradable,timestamp_ambiguous,model_eligible,model_exclusion_reason,source_doc_count,source_types,source_url_count,source_hash_count
RARE_8-K_2025-07-11_0000950170-25-095334,RARE,original,fda_complete_response_letter,2025-07-11 20:46:13,2025-07-14,2025-07-11T20:46:13+00:00,,2025-07-11T20:46:13+00:00,2025-07-11T20:46:13+00:00,sec_acceptance_time,after_close,2025-07-14T09:30:00-04:00,2025-07-14,high,none,False,False,True,,1,sec_primary_filing,1,1
SRPT_8-K_2025-07-21_0001193125-25-161516,SRPT,original,trial_halt,2025-07-21 11:30:13,2025-07-21,2025-07-21T11:30:13+00:00,,2025-07-21T11:30:13+00:00,2025-07-21T11:30:13+00:00,sec_acceptance_time,before_open,2025-07-21T09:30:00-04:00,2025-07-21,high,none,False,False,True,,1,sec_primary_filing,1,1
REPL_8-K_2025-07-22_0001104659-25-069489,REPL,fresh,fda_complete_response_letter,2025-07-22 12:18:47,2025-07-22,2025-07-22T12:18:47+00:00,2025-07-22T12:18:47+00:00,2025-07-22T12:18:47+00:00,2025-07-22T12:18:47+00:00,sec_acceptance_time,before_open,2025-07-22T09:30:00-04:00,2025-07-22,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
PTCT_8-K_2025-08-19_0001558370-25-011658,PTCT,fresh,fda_complete_response_letter,2025-08-19 12:10:10,2025-08-19,2025-08-19T12:10:10+00:00,2025-08-19T12:10:10+00:00,2025-08-19T12:10:10+00:00,2025-08-19T12:10:10+00:00,sec_acceptance_time,before_open,2025-08-19T09:30:00-04:00,2025-08-19,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
ZYME_8-K_2025-09-02_0001193125-25-193351,ZYME,original,trial_discontinuation,2025-09-02 10:58:56,2025-09-02,2025-09-02T10:58:56+00:00,2025-09-02T10:58:56+00:00,2025-09-02T10:58:56+00:00,2025-09-02T10:58:56+00:00,sec_acceptance_time,before_open,2025-09-02T09:30:00-04:00,2025-09-02,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
REPL_8-K_2025-10-20_0001104659-25-100605,REPL,fresh,fda_complete_response_letter,2025-10-20 11:20:45,2025-10-20,2025-10-20T11:20:45+00:00,2025-10-20T11:20:45+00:00,2025-10-20T11:20:45+00:00,2025-10-20T11:20:45+00:00,sec_acceptance_time,before_open,2025-10-20T09:30:00-04:00,2025-10-20,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
NTLA_8-K_2025-10-29_0001193125-25-256378,NTLA,original,trial_halt,2025-10-29 20:22:38,2025-10-30,2025-10-29T20:22:38+00:00,,2025-10-29T20:22:38+00:00,2025-10-29T20:22:38+00:00,sec_acceptance_time,after_close,2025-10-30T09:30:00-04:00,2025-10-30,high,none,False,False,True,,1,sec_primary_filing,1,1
INSM_8-K_2025-12-17_0001140361-25-045836,INSM,original,trial_discontinuation,2025-12-17 21:02:43,2025-12-18,2025-12-17T21:02:43+00:00,2025-12-17T21:02:43+00:00,2025-12-17T21:02:43+00:00,2025-12-17T21:02:43+00:00,sec_acceptance_time,after_close,2025-12-18T09:30:00-05:00,2025-12-18,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
BMRN_8-K_2025-12-22_0001193125-25-327828,BMRN,original,trial_discontinuation,2025-12-22 14:00:13,2025-12-22,2025-12-22T14:00:13+00:00,,2025-12-22T14:00:13+00:00,2025-12-22T14:00:13+00:00,sec_acceptance_time,before_open,2025-12-22T09:30:00-05:00,2025-12-22,high,none,False,False,True,,1,sec_primary_filing,1,1
NTLA_8-K_2026-01-27_0001193125-26-023387,NTLA,original,trial_halt,2026-01-27 13:19:16,2026-01-27,2026-01-27T13:19:16+00:00,2026-01-27T13:19:16+00:00,2026-01-27T13:19:16+00:00,2026-01-27T13:19:16+00:00,sec_acceptance_time,before_open,2026-01-27T09:30:00-05:00,2026-01-27,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
RGNX_8-K_2026-01-28_0001193125-26-026139,RGNX,original,trial_halt,2026-01-28 13:30:24,2026-01-28,2026-01-28T13:30:24+00:00,2026-01-28T13:30:24+00:00,2026-01-28T13:30:24+00:00,2026-01-28T13:30:24+00:00,sec_acceptance_time,before_open,2026-01-28T09:30:00-05:00,2026-01-28,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
RGNX_8-K_2026-02-10_0001193125-26-043342,RGNX,original,fda_complete_response_letter,2026-02-10 02:44:44,2026-02-10,2026-02-10T02:44:44+00:00,2026-02-10T02:44:44+00:00,2026-02-10T02:44:44+00:00,2026-02-10T02:44:44+00:00,sec_acceptance_time,after_close,2026-02-10T09:30:00-05:00,2026-02-10,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
MGNX_8-K_2026-02-24_0001125345-26-000009,MGNX,fresh,trial_halt,2026-02-23 23:41:38,2026-02-23,2026-02-23T23:41:38+00:00,2026-02-23T23:41:38+00:00,2026-02-23T23:41:38+00:00,2026-02-23T23:41:38+00:00,sec_acceptance_time,after_close,2026-02-24T09:30:00-05:00,2026-02-24,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,True,False,True,,2,sec_exhibit;sec_primary_filing,2,2
NTLA_8-K_2026-03-02_0001193125-26-084309,NTLA,original,trial_halt,2026-03-02 13:16:28,2026-03-02,2026-03-02T13:16:28+00:00,2026-03-02T13:16:28+00:00,2026-03-02T13:16:28+00:00,2026-03-02T13:16:28+00:00,sec_acceptance_time,before_open,2026-03-02T09:30:00-05:00,2026-03-02,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,3,sec_exhibit;sec_primary_filing,3,3
INCY_8-K_2026-03-06_0000879169-26-000013,INCY,original,fda_complete_response_letter,2026-03-06 22:03:47,2026-03-09,2026-03-06T22:03:47+00:00,,2026-03-06T22:03:47+00:00,2026-03-06T22:03:47+00:00,sec_acceptance_time,after_close,2026-03-09T09:30:00-04:00,2026-03-09,high,none,False,False,True,,1,sec_primary_filing,1,1
INSM_8-K_2026-04-07_0001140361-26-013659,INSM,original,trial_discontinuation,2026-04-07 20:01:21,2026-04-08,2026-04-07T20:01:21+00:00,2026-04-07T20:01:21+00:00,2026-04-07T20:01:21+00:00,2026-04-07T20:01:21+00:00,sec_acceptance_time,after_close,2026-04-08T09:30:00-04:00,2026-04-08,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
REPL_8-K_2026-04-13_0001104659-26-042141,REPL,fresh,fda_complete_response_letter,2026-04-10 21:59:21,2026-04-10,2026-04-10T21:59:21+00:00,2026-04-10T21:59:21+00:00,2026-04-10T21:59:21+00:00,2026-04-10T21:59:21+00:00,sec_acceptance_time,after_close,2026-04-13T09:30:00-04:00,2026-04-13,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,True,False,True,,2,sec_exhibit;sec_primary_filing,2,2
MIRM_8-K_2026-05-04_0001193125-26-202609,MIRM,fresh,safety_signal,2026-05-04 12:00:06,2026-05-04,2026-05-04T12:00:06+00:00,,2026-05-04T12:00:06+00:00,2026-05-04T12:00:06+00:00,sec_acceptance_time,before_open,2026-05-04T09:30:00-04:00,2026-05-04,high,none,False,False,True,,1,sec_primary_filing,1,1
