variant,roc_auc,ece,n_predictions,n_trades,n_long,n_short,allow_short,cost_bps,slippage_bps,mean_net_event_return,median_net_event_return,cumulative_net_return,hit_rate,max_drawdown,null_p_value
original_short_cost_5,0.6994047619047619,0.19563715435212742,38,34,15,19,True,5.0,5.0,0.044796243700941395,0.0264039446029945,2.7819971542570627,0.7352941176470589,-0.13643872534322365,0.005988023952095809
no_short_cost_5,0.6994047619047619,0.19563715435212742,38,15,15,0,False,5.0,5.0,0.02651138352140004,0.009351612823508604,0.332214213952877,0.6,-0.14914758707720976,0.013972055888223553
short_cost_25,0.6994047619047619,0.19563715435212742,38,34,15,19,True,25.0,25.0,0.040796243700941405,0.0224039446029945,2.3155166405562113,0.6764705882352942,-0.14043872534322366,0.005988023952095809
short_cost_50,0.6994047619047619,0.19563715435212742,38,34,15,19,True,50.0,50.0,0.035796243700941394,0.0174039446029945,1.8104327060076435,0.6470588235294118,-0.16691013443429048,0.005988023952095809
short_cost_100,0.6994047619047619,0.19563715435212742,38,34,15,19,True,100.0,100.0,0.025796243700941395,0.007403944602994501,1.0144293819930748,0.5588235294117647,-0.22505200331165276,0.005988023952095809
session_inferred_main,0.5059171597633136,0.2465727221304282,39,35,10,25,True,5.0,5.0,0.039122683616419456,0.017463090078966514,2.2638816782036315,0.6,-0.1772748608574508,0.015968063872255488
session_inferred_placebo,0.5055620608899297,0.2351411569440346,117,80,40,40,True,5.0,5.0,-0.0019261521619560005,-0.0005846847069341235,-0.25426575797668205,0.5,-0.4251715008657998,0.5848303393213573
session_inferred_peer,0.5323529411764706,0.24294250246820018,37,31,11,20,True,5.0,5.0,0.011982541747557933,0.002370083966678261,0.39942873164627524,0.5161290322580645,-0.10120864805621943,0.09381237524950099
