group,bucket,horizon,n,mean_car_market_model_simple,median_car_market_model_simple,negative_rate_car_market_model,positive_rate_car_market_model,mean_car_index_adj_simple,mean_raw_return
discount_bucket,<=-20%,h1,9,0.01538546478589595,-0.0225653372584767,0.5555555555555556,0.4444444444444444,0.019206947523351343,0.01949735031534609
discount_bucket,<=-20%,h3,9,-0.007599493430391087,-0.0595975885516765,0.6666666666666666,0.3333333333333333,0.006963214881378188,0.008643697606505974
discount_bucket,<=-20%,h10,9,-0.06564447901617806,-0.1666337640339067,0.6666666666666666,0.3333333333333333,-0.016812567057595693,-0.015507257482803675
discount_bucket,-20% to -10%,h1,16,0.007889051806564941,-0.0034773147380274,0.5625,0.4375,0.0070368732646855885,0.0032078274444321854
discount_bucket,-20% to -10%,h3,16,0.024870027507769316,0.01271343776207455,0.4375,0.5625,0.02802748442897831,0.02609307571478598
discount_bucket,-20% to -10%,h10,16,0.035587934687866626,0.0117537874432598,0.4375,0.5625,0.05555435848805023,0.05969892359551013
discount_bucket,-10% to 0%,h1,30,-0.01575613717948492,-0.02097984318570285,0.6666666666666666,0.3333333333333333,-0.012717691904574672,-0.012021360701072105
discount_bucket,-10% to 0%,h3,30,-0.015558300834538982,-0.03082792537540355,0.6,0.4,-0.007823438365982033,-0.003902540214259503
discount_bucket,-10% to 0%,h10,30,0.005208256211247179,-0.032513748531275505,0.5666666666666667,0.43333333333333335,0.02434629277307688,0.030550243624766535
discount_bucket,>=0%,h1,21,-0.054290198094993324,-0.0381283372957534,0.8095238095238095,0.19047619047619047,-0.05514353876101122,-0.05496316302304835
discount_bucket,>=0%,h3,21,-0.048876063310360165,-0.0174992755142013,0.5714285714285714,0.42857142857142855,-0.047166636732447594,-0.05462129902104422
discount_bucket,>=0%,h10,21,-0.02318187867588333,-0.0644222779347512,0.6190476190476191,0.38095238095238093,-0.00940418595713611,-0.011907990626707231
discount_bucket,missing,h1,8,0.012457057274086424,0.02258363800023515,0.25,0.75,0.014945053270536062,0.018594186985296565
discount_bucket,missing,h3,8,0.008363197275135438,0.008482286471300851,0.5,0.5,0.007206248963234362,0.011531833500392222
discount_bucket,missing,h10,8,-0.060765262899970564,-0.0340086893501859,0.75,0.25,-0.04961130216491511,-0.035592767070811424
financing_pct_market_cap_bucket,<5%,h1,20,-0.018796368490600207,-0.0159320285683233,0.65,0.35,-0.016936696573221832,-0.01959980341591317
financing_pct_market_cap_bucket,<5%,h3,20,-0.027833800641452123,-0.04124643654401855,0.65,0.35,-0.020708165763346796,-0.027753133443359973
financing_pct_market_cap_bucket,<5%,h10,20,-0.053455588419139645,-0.0746605569418237,0.65,0.35,-0.025828093288284733,-0.02904681100543204
financing_pct_market_cap_bucket,5%-10%,h1,18,-0.007961757095410492,-0.0110471888330328,0.6666666666666666,0.3333333333333333,-0.007603016483655132,-0.006394179278580924
financing_pct_market_cap_bucket,5%-10%,h3,18,-0.003191501412305922,-0.0025815067190370503,0.5,0.5,0.0010281174802250442,0.0024193513598652983
financing_pct_market_cap_bucket,5%-10%,h10,18,-0.029698252675492982,-0.005870833959436401,0.5,0.5,-0.014421991087215492,-0.006790481423392999
financing_pct_market_cap_bucket,10%-20%,h1,28,-0.04309477001021029,-0.03971768878945265,0.6785714285714286,0.32142857142857145,-0.04188630361173844,-0.03947130603597106
financing_pct_market_cap_bucket,10%-20%,h3,28,-0.05573923651338193,-0.047926006913818806,0.7142857142857143,0.2857142857142857,-0.054468122114114746,-0.05146098630624262
financing_pct_market_cap_bucket,10%-20%,h10,28,-0.051461518880928814,-0.08583171976991186,0.6785714285714286,0.32142857142857145,-0.040813215243939625,-0.0367652612988173
financing_pct_market_cap_bucket,>=20%,h1,18,0.02652581958925932,-0.00155981992513995,0.5,0.5,0.028548476904991633,0.02627641709195185
financing_pct_market_cap_bucket,>=20%,h3,18,0.05989477130685464,0.0545470370695367,0.2777777777777778,0.7222222222222222,0.07024004299773164,0.07087975738849839
financing_pct_market_cap_bucket,>=20%,h10,18,0.12258420111177985,0.03956223067137385,0.4444444444444444,0.5555555555555556,0.15513860140163624,0.16277261284973227
financing_pct_market_cap_bucket,missing,h1,0,,,,,,
financing_pct_market_cap_bucket,missing,h3,0,,,,,,
financing_pct_market_cap_bucket,missing,h10,0,,,,,,
pre_event_runup_bucket,<=0%,h1,35,-0.025630370666508834,-0.0130763453119802,0.5714285714285714,0.42857142857142855,-0.026112666894041323,-0.025223949509111165
pre_event_runup_bucket,<=0%,h3,35,-0.03228985310071904,-0.0345190084870762,0.6285714285714286,0.37142857142857144,-0.031256011427696226,-0.02958182625953413
pre_event_runup_bucket,<=0%,h10,35,-0.03249806244429761,-0.1003952873868333,0.6857142857142857,0.3142857142857143,-0.0313490150295527,-0.029906164296108116
pre_event_runup_bucket,0%-20%,h1,21,-0.007997587815116067,-0.0184630900789665,0.7142857142857143,0.2857142857142857,-0.00587857960771551,-0.00600077601061128
pre_event_runup_bucket,0%-20%,h3,21,-0.010972041344755767,0.0178280748523869,0.38095238095238093,0.6190476190476191,-0.007801239230787576,-0.007152199590964692
pre_event_runup_bucket,0%-20%,h10,21,0.00041097016154755336,0.0232415171566899,0.38095238095238093,0.6190476190476191,0.008972788424886882,0.01600834439714369
pre_event_runup_bucket,>20%,h1,28,-0.006550553134405957,-0.022469778508074148,0.6428571428571429,0.35714285714285715,-0.003469236855556567,-0.004659208130108887
pre_event_runup_bucket,>20%,h3,28,0.009422926773684911,-0.0203842529337858,0.6071428571428571,0.39285714285714285,0.021476520641320652,0.01817763509008951
pre_event_runup_bucket,>20%,h10,28,0.010382663820081505,-0.06113688822652405,0.6071428571428571,0.39285714285714285,0.06365550222054607,0.06813769097222674
pre_event_runup_bucket,missing,h1,0,,,,,,
pre_event_runup_bucket,missing,h3,0,,,,,,
pre_event_runup_bucket,missing,h10,0,,,,,,
market_cap_bucket,<250M,h1,6,-0.026152362059625348,-0.007701042135317148,0.5,0.5,-0.0286173374832956,-0.02789231578987533
market_cap_bucket,<250M,h3,6,0.016863674099190668,0.05915931683406665,0.3333333333333333,0.6666666666666666,0.016413349157005572,0.010028980667904268
market_cap_bucket,<250M,h10,6,-0.10731946926698192,-0.1092458359024629,0.8333333333333334,0.16666666666666666,-0.08606244682762716,-0.08624076455481898
market_cap_bucket,250M-1B,h1,21,0.018371518568288052,-0.0032520632077798,0.5714285714285714,0.42857142857142855,0.020065789487572466,0.018797347004743475
market_cap_bucket,250M-1B,h3,21,0.021540462012270584,0.0193450415898597,0.42857142857142855,0.5714285714285714,0.026652112213357865,0.029951427527554763
market_cap_bucket,250M-1B,h10,21,0.11849327140618363,0.0682160567649836,0.42857142857142855,0.5714285714285714,0.12961327416948046,0.13800271447353007
market_cap_bucket,1B-5B,h1,35,-0.022119616135262494,-0.0195854666137341,0.6285714285714286,0.37142857142857144,-0.019319723335300826,-0.018529000671336608
market_cap_bucket,1B-5B,h3,35,-0.023678607725591903,-0.0162102068925066,0.5714285714285714,0.42857142857142855,-0.016007500047007652,-0.01773073899081451
market_cap_bucket,1B-5B,h10,35,-0.024486292182817726,-0.0402382809387571,0.5714285714285714,0.42857142857142855,0.004639819356638633,0.007641285306172079
market_cap_bucket,>=5B,h1,22,-0.03196040718412378,-0.022469778508074148,0.7272727272727273,0.2727272727272727,-0.0321826992096716,-0.03264489661583437
market_cap_bucket,>=5B,h3,22,-0.037340738798134994,-0.04065226175090175,0.7272727272727273,0.2727272727272727,-0.03428889980164589,-0.03387110569904611
market_cap_bucket,>=5B,h10,22,-0.08297767648749911,-0.08182773706663535,0.6818181818181818,0.3181818181818182,-0.06792412095509587,-0.06594284423330266
market_cap_bucket,missing,h1,0,,,,,,
market_cap_bucket,missing,h3,0,,,,,,
market_cap_bucket,missing,h10,0,,,,,,
hypothesis_discounted_after_runup,False,h1,65,-0.02654133539625576,-0.0223742197576716,0.6615384615384615,0.3384615384615385,-0.025362391683035015,-0.02457256895453823
hypothesis_discounted_after_runup,False,h3,65,-0.023434373938438478,-0.0174992755142013,0.5846153846153846,0.4153846153846154,-0.019650883818110473,-0.020305671734572095
hypothesis_discounted_after_runup,False,h10,65,-0.011383768511307346,-0.0460619436630225,0.6153846153846154,0.38461538461538464,0.00545860333096651,0.009003248633512997
hypothesis_discounted_after_runup,True,h1,19,0.025092578713053208,-0.0032520632077798,0.5263157894736842,0.47368421052631576,0.027053858652011598,0.024100243440010983
hypothesis_discounted_after_runup,True,h3,19,0.022448343626138994,0.0075988006717622,0.47368421052631576,0.5263157894736842,0.03267703170096062,0.03385696498819682
hypothesis_discounted_after_runup,True,h10,19,-0.0051653827347714724,0.0071459624949499,0.47368421052631576,0.5263157894736842,0.027303046134249803,0.03221598252738089
hypothesis_large_financing,False,h1,38,-0.013664184145510341,-0.01467925764586615,0.6578947368421053,0.34210526315789475,-0.012515479688690236,-0.013344507771913684
hypothesis_large_financing,False,h3,38,-0.016161132585540767,-0.014018160148036701,0.5789473684210527,0.42105263157894735,-0.010412031595339079,-0.013460903799726953
hypothesis_large_financing,False,h10,38,-0.04220211359320175,-0.0354255798934082,0.5789473684210527,0.42105263157894735,-0.02042520277198877,-0.01850433909815039
hypothesis_large_financing,True,h1,46,-0.015851930601722176,-0.02575925401708195,0.6086956521739131,0.391304347826087,-0.014324867757365805,-0.013743936116349054
hypothesis_large_financing,True,h3,46,-0.010491146496767636,-0.0229684715412812,0.5434782608695652,0.45652173913043476,-0.005669274896435737,-0.0035885213822135355
hypothesis_large_financing,True,h10,46,0.0166433280727398,-0.0383524907657943,0.5869565217391305,0.41304347826086957,0.035863582573894416,0.041314776411484705
hypothesis_combined_severity,False,h1,72,-0.02253518093661988,-0.0190242783463503,0.6527777777777778,0.3472222222222222,-0.020838924819332114,-0.020709581239424252
hypothesis_combined_severity,False,h3,72,-0.023559775509639048,-0.014018160148036701,0.5694444444444444,0.4305555555555556,-0.017249728400596135,-0.017514360058265312
hypothesis_combined_severity,False,h10,72,-0.024848201621758284,-0.0506896425428294,0.6111111111111112,0.3888888888888889,-0.004806169867028291,-0.003220863603944462
hypothesis_combined_severity,True,h1,12,0.03117543518566818,0.0099842574360345,0.5,0.5,0.030489203498571375,0.029314791046147485
hypothesis_combined_severity,True,h3,12,0.04996567163267925,-0.0021873638180620013,0.5,0.5,0.04879471658199943,0.04870396635197131
hypothesis_combined_severity,True,h10,12,0.07924860763091336,0.0344865586411381,0.4166666666666667,0.5833333333333334,0.10163427695746724,0.11910141739021524
hypothesis_lower_severity_control,False,h1,17,0.034184450313191485,0.0252606580858898,0.35294117647058826,0.6470588235294118,0.03367619018296951,0.03337026817888296
hypothesis_lower_severity_control,False,h3,17,0.049204384812017,0.0301442808509522,0.4117647058823529,0.5882352941176471,0.04936836446250439,0.05145873655178291
hypothesis_lower_severity_control,False,h10,17,0.035191566651663876,-0.0158707505806349,0.5294117647058824,0.47058823529411764,0.05517626437579822,0.07147035747483745
hypothesis_lower_severity_control,True,h1,67,-0.027306917321386102,-0.0223742197576716,0.7014925373134329,0.29850746268656714,-0.02547802056894832,-0.02547174501083264
hypothesis_lower_severity_control,True,h3,67,-0.028853586849345508,-0.024558298975065,0.5970149253731343,0.40298507462686567,-0.022323970771962735,-0.023154997751518747
hypothesis_lower_severity_control,True,h10,67,-0.021437968033939124,-0.0553173414226363,0.5970149253731343,0.40298507462686567,-0.0009616328555970165,-0.0002638992219948492
financing_event_type,completed_equity_offering,h1,75,-0.016851444505539128,-0.0160544331087102,0.64,0.36,-0.015550962740699822,-0.01603842385072844
financing_event_type,completed_equity_offering,h3,75,-0.018687497438701427,-0.0162102068925066,0.5733333333333334,0.4266666666666667,-0.014195832749606412,-0.014940982172910514
financing_event_type,completed_equity_offering,h10,75,-0.013647301109689721,-0.0315506781075403,0.5733333333333334,0.4266666666666667,0.007486393262377713,0.011207639250028765
financing_event_type,registered_direct_offering,h1,9,0.0017145036340912648,-0.0184630900789665,0.5555555555555556,0.4444444444444444,0.003532228949270106,0.007063270235539595
financing_event_type,registered_direct_offering,h3,9,0.033871836755638554,0.0402642210167349,0.4444444444444444,0.5555555555555556,0.04536040115128362,0.04933192611076023
financing_event_type,registered_direct_offering,h10,9,0.02060670644789927,-0.1055502008044442,0.6666666666666666,0.3333333333333333,0.034676399820582376,0.039637987271824965
release_session_selected,after_close,h1,61,-0.014757913730884146,-0.0160544331087102,0.639344262295082,0.36065573770491804,-0.01361536712146349,-0.013373445864622498
release_session_selected,after_close,h3,61,-0.02112922077706567,-0.024558298975065,0.5737704918032787,0.4262295081967213,-0.014788600196401835,-0.013478045179834038
release_session_selected,after_close,h10,61,-0.024438017620813542,-0.0364667005928315,0.5737704918032787,0.4262295081967213,-0.004223511151140776,-0.0012533668380340594
release_session_selected,before_open,h1,23,-0.015138915983681766,-0.0184630900789665,0.6086956521739131,0.391304347826087,-0.013217163069555787,-0.014066615606208876
release_session_selected,before_open,h3,23,0.008355073491267198,-0.0114179345954862,0.5217391304347826,0.4782608695652174,0.010680902874851428,0.006329322956453465
release_session_selected,before_open,h10,23,0.028375297811912628,-0.0402382809387571,0.6086956521739131,0.391304347826087,0.04918266405578946,0.0553813133182026
