name,n_predictions,roc_auc,ece,n_trades,mean_net_event_return,cumulative_net_return,hit_rate,null_p_value
main,38,0.6994047619047619,0.19563715435212742,34,0.044796243700941395,2.7819971542570627,0.7352941176470589,0.005988023952095809
placebo,117,0.4929865575686733,0.23914772416648516,93,-0.009861762630586272,-0.757624521970453,0.4946236559139785,0.8842315369261478
peer,37,0.48484848484848486,0.3375577010554047,32,0.00802016186671669,0.21050806656155774,0.5,0.3193612774451098
