iteration,n_trades,mean_net_event_return,cumulative_net_return,hit_rate
0,24,-0.026319357788761585,-0.9562529572336782,0.4166666666666667
1,24,0.006096434434064814,-0.9012525909819216,0.5416666666666666
2,24,-0.023834359317786435,-0.828347974342283,0.2916666666666667
3,24,0.029259621028130647,-0.40949120028640285,0.4166666666666667
4,24,0.002474087190969962,-0.9089792624896046,0.5
5,24,0.09411049611130247,3.474036178101519,0.5416666666666666
6,24,0.11310546388307159,6.365796760016629,0.5
7,24,0.06372341749266251,1.6367021882164936,0.5
8,24,0.02464784123683021,0.11014772115599025,0.4166666666666667
9,24,0.0882688790970317,3.050976597725824,0.625
10,24,0.05915411868170389,0.1427085050471142,0.5833333333333334
11,24,0.0040364550143250355,-0.8909039045344374,0.5
12,24,-0.042210143475158786,-0.9731928708491114,0.4166666666666667
13,24,0.0929459048953165,3.7865781855999243,0.625
14,24,-0.0743877693266483,-0.9915618510169081,0.4583333333333333
15,24,0.01555614315634872,-0.8761629767870687,0.4583333333333333
16,24,-0.04081410249020373,-0.9722604935319261,0.5416666666666666
17,24,0.0671694340428733,1.291561724981062,0.4583333333333333
18,24,0.09025075899840672,4.652379653892241,0.625
19,24,-0.0588600206395136,-0.9882004659698879,0.5416666666666666
20,24,0.02713679748489298,-0.8325352620040882,0.5
21,24,-0.008630379954945,-0.9241435232471801,0.5416666666666666
22,24,-0.05042607252728646,-0.9827865724924741,0.5416666666666666
23,24,0.07284691209442982,1.8049115914583598,0.4583333333333333
24,24,0.059441314252173215,0.9788529621338176,0.4583333333333333
25,24,0.05578875037354458,-0.6647107764272129,0.625
26,24,0.006340803064070727,-0.9092017701040999,0.4583333333333333
27,24,-0.016789682951671006,-0.7489874868843921,0.4583333333333333
28,24,-0.013067812199075754,-0.8197960992858594,0.4583333333333333
29,24,0.10175146007411268,4.287028893242059,0.5416666666666666
30,24,0.06975613921578748,1.2862026510037583,0.625
31,24,-0.0665750940953152,-0.9887130377188973,0.4166666666666667
32,24,0.06785772605681181,1.4604078254872315,0.4583333333333333
33,24,-0.02253606072008577,-0.8592845005390864,0.4166666666666667
34,24,0.11127195656763615,5.919875164456531,0.5833333333333334
35,24,0.11190565545656606,6.639995856592536,0.625
36,24,0.01279438345617851,-0.875739039215949,0.5
37,24,0.04251662729182191,1.079275091920509,0.5416666666666666
38,24,0.01014768444525753,-0.8593728179561946,0.5416666666666666
39,24,-0.014184001364611181,-0.9443691374093046,0.5833333333333334
40,24,0.09106492640716528,3.2229353583646327,0.4583333333333333
41,24,-0.11515144780163722,-0.9965611528346885,0.375
42,24,0.0535455467899233,1.0246896304844704,0.5833333333333334
43,24,-0.047495059217492995,-0.9235100905587694,0.375
44,24,-0.03268506046273263,-0.7030844204193112,0.5
45,24,0.09088983853976344,3.3185424734809983,0.4583333333333333
46,24,-0.05109389395428846,-0.9773006450727453,0.375
47,24,-0.012192727266310896,-0.9392338419258226,0.4583333333333333
48,24,-0.06255907770549124,-0.9887299738432757,0.4166666666666667
49,24,-0.08119766252403222,-0.9934821898021885,0.5416666666666666
50,24,-0.046218467486206616,-0.9739464887900661,0.375
51,24,0.023821467951630208,-0.8481295032376506,0.5
52,24,-0.029038771427078214,-0.9543194745182941,0.4583333333333333
53,24,0.01019603514053521,-0.6488030096751836,0.3333333333333333
54,24,-0.03581032749743903,-0.9785893501707615,0.4583333333333333
55,24,-0.08317253194318151,-0.9876479982627062,0.4166666666666667
56,24,0.04213578397335176,0.22881273537711855,0.5
57,24,0.060240669712791926,0.7540474536588802,0.4583333333333333
58,24,0.009347572826448686,-0.8988966123929956,0.7083333333333334
59,24,-0.03714532542774307,-0.9618737730228073,0.4166666666666667
60,24,-0.025530934295982147,-0.9516158843764995,0.4166666666666667
61,24,-0.001593332869061335,-0.7366566024644015,0.4166666666666667
62,24,0.0008075496843899799,-0.9219575406601399,0.5
63,24,0.0153059155350561,-0.44933900601586785,0.625
64,24,0.03285201644276564,-0.1868677041108121,0.5833333333333334
65,24,-0.015776387010840966,-0.7489754194938179,0.375
66,24,0.11399907888460259,6.273716791532898,0.5416666666666666
67,24,-0.05236829128473144,-0.9849662970799007,0.3333333333333333
68,24,-0.00624927134354152,-0.9274218777365599,0.6666666666666666
69,24,0.031069993183012356,-0.8065139641789216,0.4583333333333333
70,24,-0.027030166721069167,-0.9507952902054954,0.4583333333333333
71,24,-0.0607731711135123,-0.9266165008988635,0.5416666666666666
72,24,0.0502665340137373,0.701711648414522,0.4583333333333333
73,24,-0.008324417926824123,-0.9371803880602648,0.3333333333333333
74,24,0.06816129190717087,1.1905382904792323,0.625
75,24,0.02484339946220018,0.3959726443052962,0.375
76,24,-0.026036442740559926,-0.9533275489222464,0.375
77,24,-0.058592450567896394,-0.9884245730109935,0.5416666666666666
78,24,-0.11670506288772359,-0.9971686110943052,0.4583333333333333
