dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
combined,all,all,1,61,negative,-0.1325223713181452,-0.04732221619697345,-0.129479194928868,0.7049180327868853,0.29508196721311475,0.7049180327868853,-0.08569008388659752,-0.046219975299539584,0.1814160406749679
combined,biotech_catalyst_event_type,trial_halt,1,15,negative,-0.10242468936419397,-0.04732221619697345,-0.068970025590718,0.7333333333333333,0.26666666666666666,0.7333333333333333,-0.07236513518485249,-0.046219975299539584,0.15109104076451726
combined,biotech_catalyst_event_type,safety_signal,1,14,negative,-0.07525811353970849,-0.04438188121559334,-0.0714623987178198,0.6428571428571429,0.35714285714285715,0.6428571428571429,-0.06733945876897159,-0.04317380201282772,0.09554665078215628
combined,biotech_catalyst_event_type,fda_complete_response_letter,1,11,negative,-0.21498209210743432,-0.02379598671677552,-0.22443302751337282,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.08364574008918792,-0.023515094670497505,0.34108010753493373
combined,biotech_catalyst_event_type,trial_discontinuation,1,11,negative,-0.10059607793443438,-0.07581630164555554,-0.10301863950856976,0.8181818181818182,0.18181818181818182,0.8181818181818182,-0.08742631488268326,-0.07301352318989673,0.13248363861525433
combined,biotech_catalyst_event_type,phase_3_readout,1,7,negative,-0.19120789696065282,0.0025636871496496484,-0.1468541200694886,0.42857142857142855,0.5714285714285714,0.42857142857142855,-0.11187747720749687,0.0025669762056532708,0.2241561399857311
combined,biotech_catalyst_event_type,phase_2_readout,1,2,negative,-0.04366058694498704,-0.04366058694498704,-0.043660586944987034,1.0,0.0,1.0,-0.04226599085210042,-0.04226599085210042,0.04366058694498704
combined,biotech_catalyst_event_type,endpoint_failure,1,1,negative,-0.5967443973129318,-0.5967443973129318,-0.5967443973129318,1.0,0.0,1.0,-0.4493987396967971,-0.4493987396967971,0.5967443973129318
combined,market_cap_bucket,small_300m_2b,1,33,negative,-0.14480223724027133,-0.08009204956598064,-0.1391995902494517,0.696969696969697,0.30303030303030304,0.696969696969697,-0.09357884368529673,-0.07696862216167977,0.21527475377277658
combined,market_cap_bucket,mid_2b_10b,1,18,negative,-0.02451369766860415,-0.005247653102170592,-0.02791168067934117,0.5555555555555556,0.4444444444444444,0.5555555555555556,-0.02065572693326883,-0.005227885868448856,0.06100929684602111
combined,market_cap_bucket,large_gt_10b,1,5,negative,-0.05358034924423606,-0.03150904907591111,-0.0494914902274066,1.0,0.0,1.0,-0.05051874735764093,-0.031017811979309307,0.05358034924423606
combined,market_cap_bucket,micro_lt_300m,1,5,negative,-0.5192485034443703,-0.06216973776430177,-0.4996286159356485,1.0,0.0,1.0,-0.3029192907761226,-0.06027663329014654,0.5192485034443703
combined,negative_catalyst_family,trial_halt_or_discontinuation,1,26,negative,-0.10165104606698797,-0.058211854229280956,-0.0777887828603557,0.7692307692307693,0.23076923076923078,0.7692307692307693,-0.07873717274931936,-0.056542558112787245,0.1432186783167522
combined,negative_catalyst_family,major_safety_signal,1,14,negative,-0.07525811353970849,-0.04438188121559334,-0.0714623987178198,0.6428571428571429,0.35714285714285715,0.6428571428571429,-0.06733945876897159,-0.04317380201282772,0.09554665078215628
combined,negative_catalyst_family,complete_response_letter,1,11,negative,-0.21498209210743432,-0.02379598671677552,-0.22443302751337282,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.08364574008918792,-0.023515094670497505,0.34108010753493373
combined,negative_catalyst_family,endpoint_failure_or_trial_failure,1,10,negative,-0.20225208499274755,-0.010775287527460597,-0.17358893400482692,0.6,0.4,0.6,-0.1317073061853476,-0.010715367456530012,0.22531585511030242
combined,trial_phase,phase_3,1,19,negative,-0.1301534339533851,-0.06216973776430177,-0.08962749449741775,0.7894736842105263,0.21052631578947367,0.7894736842105263,-0.09347764992626156,-0.06027663329014654,0.1642598956238664
combined,trial_phase,unknown,1,12,negative,-0.16172717842907117,-0.035559101456874485,-0.14989031141441808,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.06188342739953901,-0.034867534985018545,0.2823307174366056
combined,trial_phase,phase_1_2,1,10,negative,-0.10497987220612451,-0.08083293831891092,-0.10013109951497745,0.8,0.2,0.8,-0.09523384122355018,-0.07755972829942948,0.108556544631395
combined,trial_phase,phase_2,1,7,negative,-0.2814060321893273,-0.028595494948143913,-0.2855413062671447,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.16968123766889406,-0.028190513181657884,0.33536299542734227
combined,trial_phase,phase_2_3,1,7,negative,-0.013411718298940029,0.006849522837627562,-0.009866181708611836,0.42857142857142855,0.5714285714285714,0.42857142857142855,-0.010285322082817976,0.006873034469677908,0.06513053571648182
combined,trial_phase,phase_1,1,5,negative,-0.11548527136509794,-0.08869802043704186,-0.1147397805922938,0.8,0.2,0.8,-0.10345133078128015,-0.08487812004172501,0.12954512451973532
combined,trial_phase,pivotal,1,1,negative,0.020726068160916822,0.020726068160916822,0.020726068160916822,0.0,1.0,0.0,0.020942344714876215,0.020942344714876215,0.020726068160916822
fresh,all,all,1,27,negative,-0.17975140838829554,-0.028595494948143913,-0.18865844279342114,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.09849751305104766,-0.028190513181657884,0.24625842328631103
fresh,biotech_catalyst_event_type,safety_signal,1,9,negative,-0.09088339940582572,-0.06667028434208694,-0.08765539768389456,0.7777777777777778,0.2222222222222222,0.7777777777777778,-0.08108723130958195,-0.06449639932288576,0.1106582362245343
fresh,biotech_catalyst_event_type,phase_3_readout,1,7,negative,-0.19120789696065282,0.0025636871496496484,-0.1468541200694886,0.42857142857142855,0.5714285714285714,0.42857142857142855,-0.11187747720749687,0.0025669762056532708,0.2241561399857311
