bucket,n,mean_car_h1,median_car_h1,positive_rate_h1,mean_car_h3,median_car_h3,positive_rate_h3
all_ok,79,-0.018998556478958234,-0.0102589286279605,0.4050632911392405,-0.04235235738237952,-0.0334600519847172,0.3291139240506329
H1_discounted_after_runup,16,0.03567224898446942,0.0117285660093491,0.625,-0.02429957777964683,-0.041989125265161,0.25
H2_large_pct_market_cap,30,-0.029219192448380085,-0.004982853792649,0.4666666666666667,-0.059037586476933794,-0.09971337539179545,0.3333333333333333
H3_large_and_discounted,11,0.028192863052109506,0.0102984017778792,0.6363636363636364,0.013841897816492697,-0.0009973267934618,0.45454545454545453
H4_runup_no_large_discount,16,-0.03356203406254079,-0.0263565822021314,0.3125,-0.03267735091357377,-0.0221469944784427,0.4375
