event_id,ticker,recipient_name,contract_number,award_date,event_time,source_type,source_url,award_amount,obligated_amount,award_amount_pct_market_cap,obligated_amount_pct_market_cap,company_size_bucket,small_cap_flag,public_announcement_priority_score,public_announcement_priority_reason,public_announcement_link_status
government_contract_CACI_W56KGU23F0014,CACI,"CACI TECHNOLOGIES, LLC",W56KGU23F0014,2024-01-15,2024-01-15T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W56KGU23F0014_9700_W15P7T19D0157_9700,64095064.4,64095064.4,0.0086540904711663,0.0086540904711663,mid_cap,False,14.86540904711663,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_47QFSA21F0009,BAH,BOOZ ALLEN HAMILTON INC,47QFSA21F0009,2021-03-01,2021-03-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFSA21F0009_4732_H9222215D0022_9700,85843634.14,85843634.14,0.0086121157337114,0.0086121157337114,mid_cap,False,14.86121157337114,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_FA875021F1012,BAH,BOOZ ALLEN HAMILTON INC,FA875021F1012,2021-09-28,2021-09-28T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA875021F1012_9700_FA875021D1100_9700,82733891.0,82733891.0,0.0084783732945651,0.0084783732945651,mid_cap,False,14.84783732945651,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_KTOS_47QFEA23P0001,KTOS,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",47QFEA23P0001,2023-08-15,2023-08-15T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFEA23P0001_4732_-NONE-_-NONE-,16560706.96,16560706.96,0.008452334955642,0.008452334955642,small_cap,True,14.8452334955642,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_W91CRB25C5007,CACI,"CACI, INC. - FEDERAL",W91CRB25C5007,2024-12-20,2024-12-20T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W91CRB25C5007_9700_-NONE-_-NONE-,76249083.73,76249083.73,0.0084493898599907,0.0084493898599907,mid_cap,False,14.84493898599907,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_693KA921F00049,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,693KA921F00049,2021-01-29,2021-01-29T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_693KA921F00049_6920_693KA918D00010_6920,43403712.96,43403712.96,0.0083677091889388,0.0083677091889388,mid_cap,False,14.83677091889388,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_HQ003423F0571,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,HQ003423F0571,2023-09-13,2023-09-13T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HQ003423F0571_9700_GS00Q14OADU130_4732,46902999.87,46902999.87,0.0082473867530638,0.0082473867530638,mid_cap,False,14.82473867530638,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_N0042122F3009,BAH,BOOZ ALLEN HAMILTON INC,N0042122F3009,2022-02-24,2022-02-24T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0042122F3009_9700_N0017819D7264_9700,76708534.2,76708534.2,0.0082471833975847,0.0082471833975847,mid_cap,False,14.82471833975847,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_FA460021F0003,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORP,FA460021F0003,2021-01-08,2021-01-08T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA460021F0003_9700_FA460020D0002_9700,41459724.19,41459724.19,0.0080924436568698,0.0080924436568698,mid_cap,False,14.809244365686979,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_15JPSS22F00000704,CACI,ACACIA CENTER FOR JUSTICE,15JPSS22F00000704,2022-09-01,2022-09-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_15JPSS22F00000704_1501_15JPSS22D00000013_1501,52369046.18,52369046.18,0.0080777414823702,0.0080777414823702,mid_cap,False,14.80777414823702,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_FA872624FB047,CACI,"CACI NSS, LLC",FA872624FB047,2024-07-03,2024-07-03T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA872624FB047_9700_FA872622A0001_9700,75966326.02,75966326.02,0.0079801150168087,0.0079801150168087,mid_cap,False,14.79801150168087,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_FA445221F0035,CACI,"CACI NSS, LLC",FA445221F0035,2021-07-01,2021-07-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA445221F0035_9700_GS00Q14OADU121_4732,47939769.75,47939769.75,0.0079249255447063,0.0079249255447063,mid_cap,False,14.79249255447063,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_W56KGU22F0015,CACI,"CACI TECHNOLOGIES, LLC",W56KGU22F0015,2022-06-01,2022-06-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W56KGU22F0015_9700_W15P7T19D0157_9700,52008617.6,52008617.6,0.0079160058444503,0.0079160058444503,mid_cap,False,14.79160058444503,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_RKLB_FA881824FB016,RKLB,ROCKET LAB USA INC,FA881824FB016,2024-04-08,2024-04-08T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA881824FB016_9700_FA881820D0008_9700,14496100.0,14496100.0,0.0078609726294905,0.0078609726294905,small_cap,True,14.786097262949049,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_47QFCA24F0008,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,47QFCA24F0008,2024-02-06,2024-02-06T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA24F0008_4732_47QFCA22D0337_4732,51032459.0,51032459.0,0.0078421926762889,0.0078421926762889,mid_cap,False,14.78421926762889,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_M6785424F7600,CACI,"CACI, INC. - FEDERAL",M6785424F7600,2024-01-01,2024-01-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_M6785424F7600_9700_M6785419D7614_9700,55255638.41,55255638.41,0.0076584786356966,0.0076584786356966,mid_cap,False,14.765847863569661,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_FA872625FB069,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,FA872625FB069,2025-09-08,2025-09-08T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA872625FB069_9700_47QTCK18D0001_4732,35284955.04,35284955.04,0.0075549605858948,0.0075549605858948,mid_cap,False,14.755496058589479,high_materiality_or_priority_ticker,needs_public_announcement_link
