event_id,audit_bucket,source_doc_ids,source_type,source_url,event_time,release_session,recipient_name,parsed_ticker,reviewed_mapped_ticker,parsed_mapping_type,reviewed_mapping_type,parsed_recipient_mapping_confidence,reviewed_recipient_mapping_confidence,recipient_mapping_correct_flag,mapping_model_eligible_flag,parsed_government_contract_event_type,reviewed_government_contract_event_type,event_type_correct_flag,parsed_award_amount,reviewed_award_amount,parsed_obligated_amount,reviewed_obligated_amount,parsed_contract_ceiling,reviewed_contract_ceiling,amount_correct_flag,parsed_actual_funded_award_flag,reviewed_actual_funded_award_flag,parsed_ceiling_only_flag,reviewed_ceiling_only_flag,parsed_modification_flag,reviewed_modification_flag,parsed_option_exercise_flag,reviewed_option_exercise_flag,funded_vs_ceiling_correct_flag,timestamp_suitable_flag,public_awareness_evidence_status,model_eligible_after_audit,review_status,drop_reason,audit_notes
government_contract_LMT_N0001925C0070,new_funded_awards,usaspending_CONT_AWD_N0001925C0070_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001925C0070_9700_-NONE-_-NONE-,2024-11-22T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,new_contract_award,new_contract_award,True,3130421242.0,3130421242.0,3130421242.0,3130421242.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BA_N0001924C0025,new_funded_awards,usaspending_CONT_AWD_N0001924C0025_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001924C0025_9700_-NONE-_-NONE-,2024-02-29T12:00:00,unknown,THE BOEING COMPANY,BA,BA,exact_public_company,exact_public_company,0.94,0.94,True,True,new_contract_award,new_contract_award,True,2739718834.0,2739718834.0,2739718834.0,2739718834.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_RTX_FA867523C0037,new_funded_awards,usaspending_CONT_AWD_FA867523C0037_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA867523C0037_9700_-NONE-_-NONE-,2023-06-20T12:00:00,unknown,RAYTHEON COMPANY,RTX,RTX,known_subsidiary,known_subsidiary,0.92,0.92,True,True,new_contract_award,new_contract_award,True,2512789038.4,2512789038.4,2512789038.4,2512789038.4,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_GD_N0002424C2301,new_funded_awards,usaspending_CONT_AWD_N0002424C2301_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002424C2301_9700_-NONE-_-NONE-,2024-09-09T12:00:00,unknown,NATIONAL STEEL AND SHIPBUILDING COMPANY,GD,GD,known_subsidiary,known_subsidiary,0.88,0.88,True,True,new_contract_award,new_contract_award,True,2501740929.0,2501740929.0,2501740929.0,2501740929.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_NOC_HQ085621C0003,new_funded_awards,usaspending_CONT_AWD_HQ085621C0003_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HQ085621C0003_9700_-NONE-_-NONE-,2021-03-25T12:00:00,unknown,NORTHROP GRUMMAN SYSTEMS CORPORATION,NOC,NOC,exact_public_company,exact_public_company,0.95,0.95,True,True,new_contract_award,new_contract_award,True,2395436919.18,2395436919.18,2395436919.18,2395436919.18,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BA_FA863423F0048,task_orders,usaspending_CONT_AWD_FA863423F0048_9700_FA863420D2704_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA863423F0048_9700_FA863420D2704_9700,2023-09-27T12:00:00,unknown,THE BOEING COMPANY,BA,BA,exact_public_company,exact_public_company,0.94,0.94,True,True,task_order_award,task_order_award,True,3933015048.3,3933015048.3,3933015048.3,3933015048.3,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_W31P4Q24F0165,task_orders,usaspending_CONT_AWD_W31P4Q24F0165_9700_W31P4Q23D0003_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q24F0165_9700_W31P4Q23D0003_9700,2024-07-01T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,task_order_award,task_order_award,True,2790109221.89,2790109221.89,2790109221.89,2790109221.89,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_FA820523F0501,task_orders,usaspending_CONT_AWD_FA820523F0501_9700_FA820518D0001_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA820523F0501_9700_FA820518D0001_9700,2023-01-01T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,task_order_award,task_order_award,True,2682618797.8,2682618797.8,2682618797.8,2682618797.8,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_W31P4Q23F0024,task_orders,usaspending_CONT_AWD_W31P4Q23F0024_9700_W31P4Q23D0003_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q23F0024_9700_W31P4Q23D0003_9700,2022-10-31T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,task_order_award,task_order_award,True,2488824240.67,2488824240.67,2488824240.67,2488824240.67,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BA_FA863422F0035,task_orders,usaspending_CONT_AWD_FA863422F0035_9700_FA863420D2704_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA863422F0035_9700_FA863420D2704_9700,2022-09-29T12:00:00,unknown,THE BOEING COMPANY,BA,BA,exact_public_company,exact_public_company,0.94,0.94,True,True,task_order_award,task_order_award,True,2039776433.36,2039776433.36,2039776433.36,2039776433.36,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_W31P4Q23F0006,task_orders,usaspending_CONT_AWD_W31P4Q23F0006_9700_W31P4Q23D0003_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q23F0006_9700_W31P4Q23D0003_9700,2022-10-21T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,task_order_award,task_order_award,True,1610114676.7,1610114676.7,1610114676.7,1610114676.7,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BA_N0001922F0030,task_orders,usaspending_CONT_AWD_N0001922F0030_9700_N0001921G0006_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001922F0030_9700_N0001921G0006_9700,2022-03-02T12:00:00,unknown,THE BOEING COMPANY,BA,BA,exact_public_company,exact_public_company,0.94,0.94,True,True,task_order_award,task_order_award,True,1553797869.15,1553797869.15,1553797869.15,1553797869.15,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BAH_47QFCA21F0018,task_orders,usaspending_CONT_AWD_47QFCA21F0018_4732_47QTCK18D0004_4732,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA21F0018_4732_47QTCK18D0004_4732,2021-03-09T12:00:00,unknown,BOOZ ALLEN HAMILTON INC,BAH,BAH,exact_public_company,exact_public_company,0.95,0.95,True,True,task_order_award,task_order_award,True,1379603153.12,1379603153.12,1379603153.12,1379603153.12,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BAH_36C10B21N10070021,task_orders,usaspending_CONT_AWD_36C10B21N10070021_3600_VA11816D1007_3600,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_36C10B21N10070021_3600_VA11816D1007_3600,2021-05-17T12:00:00,unknown,BOOZ ALLEN HAMILTON INC,BAH,BAH,exact_public_company,exact_public_company,0.95,0.95,True,True,task_order_award,task_order_award,True,1365285599.63,1365285599.63,1365285599.63,1365285599.63,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_RTX_FA865622FA071,task_orders,usaspending_CONT_AWD_FA865622FA071_9700_FA865621DA004_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA865622FA071_9700_FA865621DA004_9700,2022-09-22T12:00:00,unknown,RAYTHEON COMPANY,RTX,RTX,known_subsidiary,known_subsidiary,0.92,0.92,True,True,task_order_award,task_order_award,True,1278745212.76,1278745212.76,1278745212.76,1278745212.76,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_N0001923F0002,modifications_options,usaspending_CONT_AWD_N0001923F0002_9700_N0001919G0008_9700,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001923F0002_9700_N0001919G0008_9700,2023-01-01T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,contract_modification,contract_modification,True,2198479923.74,2198479923.74,2198479923.74,2198479923.74,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_GD_W56HZV22C0012,modifications_options,usaspending_CONT_AWD_W56HZV22C0012_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W56HZV22C0012_9700_-NONE-_-NONE-,2022-02-28T12:00:00,unknown,GENERAL DYNAMICS LAND SYSTEMS INC.,GD,GD,exact_public_company,exact_public_company,0.95,0.95,True,True,contract_modification,contract_modification,True,1091238896.25,1091238896.25,1091238896.25,1091238896.25,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LDOS_693KA721C00014,modifications_options,usaspending_CONT_AWD_693KA721C00014_6920_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_693KA721C00014_6920_-NONE-_-NONE-,2021-06-15T12:00:00,unknown,"LEIDOS, INC.",LDOS,LDOS,exact_public_company,exact_public_company,0.94,0.94,True,True,contract_modification,contract_modification,True,848580356.59,848580356.59,848580356.59,848580356.59,,,True,True,True,False,False,True,True,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
