ticker,asof_date,filed_at,shares_outstanding_before_event,source_type,source_url,accession_number,form,confidence,notes
ABBV,2013-03-31,2013-05-08,1583729114.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465913038917,0001104659-13-038917,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2013-06-30,2013-08-09,1585428724.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465913062262,0001104659-13-062262,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2013-09-30,2013-11-12,1590861812.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465913083686,0001104659-13-083686,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2014-01-31,2014-02-21,1588518764.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000104746914001154,0001047469-14-001154,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2014-03-31,2014-05-09,1590066459.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465914036968,0001104659-14-036968,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2014-06-30,2014-08-07,1591699124.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465914058340,0001104659-14-058340,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2014-09-30,2014-11-07,1593265381.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465914078391,0001104659-14-078391,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2015-01-31,2015-02-20,1593886909.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000104746915000995,0001047469-15-000995,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2015-03-31,2015-05-08,1593076097.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465915036257,0001104659-15-036257,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2015-06-30,2015-08-07,1655276338.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465915057641,0001104659-15-057641,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2015-09-30,2015-11-06,1634746917.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465915076607,0001104659-15-076607,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2016-01-31,2016-02-19,1611238226.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000104746916010239,0001047469-16-010239,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2016-03-31,2016-05-06,1617358607.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465916118639,0001104659-16-118639,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2016-06-30,2016-08-05,1628542359.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000110465916137453,0001104659-16-137453,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2016-10-24,2016-11-07,1625099012.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000155115216000005,0001551152-16-000005,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2017-01-31,2017-02-17,1593920285.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000004,0001551152-17-000004,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2017-04-24,2017-05-05,1591540513.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000016,0001551152-17-000016,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
ABBV,2017-07-24,2017-08-07,1594094698.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000025,0001551152-17-000025,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
