event_id,ticker,recipient_name,award_id,contract_number,award_date,announcement_time,announcement_source_type,announcement_source_url,announcement_title,announcement_text_excerpt,source_confidence,link_confidence,link_notes,announcement_source_type_normalized,public_announcement_time,public_announcement_release_session,public_awareness_event_key,duplicate_group_id,duplicate_status,valid_public_announcement_link_flag,model_eligible_public_announcement_flag,validation_status,validation_notes,event_time,source_type,source_url,award_amount,obligated_amount,award_amount_pct_market_cap,obligated_amount_pct_market_cap,company_size_bucket,small_cap_flag,public_announcement_priority_score,public_announcement_priority_reason,public_announcement_link_status
government_contract_HII_N0002421C2106,HII,HUNTINGTON INGALLS INC,,N0002421C2106,2021-02-19,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-02-19T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002421C2106_9700_-NONE-_-NONE-,3368736971.67,3368736971.67,0.5151556192120003,0.5151556192120003,mid_cap,False,36.0,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_HII_N0002423C2307,HII,HUNTINGTON INGALLS INCORPORATED,,N0002423C2307,2023-08-01,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-08-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002423C2307_9700_-NONE-_-NONE-,6948190150.83,6948190150.83,0.8030143324952933,0.8030143324952933,mid_cap,False,36.0,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_LUNR_80JSC024F0079,LUNR,"INTUITIVE MACHINES, LLC",,80JSC024F0079,2024-08-29,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2024-08-29T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80JSC024F0079_8000_80HQTR19D0010_8000,88031400.0,88031400.0,0.21698016472467,0.21698016472467,small_cap,True,35.698016472467,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_19AQMM21F2945,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,19AQMM21F2945,2021-07-30,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-07-30T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_19AQMM21F2945_1900_47QTCK18D0001_4732,805559930.65,805559930.65,0.1701651827357941,0.1701651827357941,mid_cap,False,31.016518273579408,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_KTOS_N0001923C0021,KTOS,"KRATOS UNMANNED AERIAL SYSTEMS, INC",,N0001923C0021,2023-01-31,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-01-31T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001923C0021_9700_-NONE-_-NONE-,238798157.3,238798157.3,0.1655782271881825,0.1655782271881825,small_cap,True,30.55782271881825,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_W31P4Q21F0095,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,W31P4Q21F0095,2021-03-03,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-03-03T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q21F0095_9700_GS00Q14OADU428_4732,748096207.94,748096207.94,0.1609695638213176,0.1609695638213176,mid_cap,False,30.09695638213176,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_AVAV_W58RGZ23C0007,AVAV,"AEROVIRONMENT, INC",,W58RGZ23C0007,2022-11-09,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2022-11-09T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W58RGZ23C0007_9700_-NONE-_-NONE-,323492026.34,323492026.34,0.1587993772133712,0.1587993772133712,mid_cap,False,29.87993772133712,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_LMT_N0001923C0003,LMT,LOCKHEED MARTIN CORPORATION,,N0001923C0003,2022-12-23,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2022-12-23T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001923C0003_9700_-NONE-_-NONE-,24499786640.0,24499786640.0,0.2109950786631474,0.2109950786631474,large_cap,False,28.09950786631474,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_47QFCA21F0018,BAH,BOOZ ALLEN HAMILTON INC,,47QFCA21F0018,2021-03-09,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-03-09T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA21F0018_4732_47QTCK18D0004_4732,1379603153.12,1379603153.12,0.140800564877678,0.140800564877678,mid_cap,False,28.0800564877678,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_70B04C20F00001359,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,70B04C20F00001359,2021-09-15,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-09-15T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732,596474053.88,596474053.88,0.1290160692595959,0.1290160692595959,mid_cap,False,26.90160692595959,high_materiality_or_priority_ticker,needs_public_announcement_link
